index,cultivable,predicted_class,conf
976,1,cultivable,0.787
3928,1,cultivable,0.946
6083,1,cultivable,0.950
191,0,non-cultivable,0.996
10593,0,non-cultivable,1.000
6894,1,cultivable,0.509
6664,1,cultivable,0.669
7171,0,non-cultivable,0.990
2638,1,cultivable,0.895
741,1,cultivable,0.961
10650,0,non-cultivable,0.629
11982,1,cultivable,0.951
9161,1,cultivable,0.998
9337,0,non-cultivable,0.883
6250,1,cultivable,0.763
8694,1,cultivable,0.946
7125,1,cultivable,0.998
9673,1,cultivable,0.589
1670,1,cultivable,0.984
10727,0,non-cultivable,1.000
5117,1,cultivable,0.996
1281,0,non-cultivable,0.947
2887,1,cultivable,0.962
12323,1,cultivable,0.950
10384,1,cultivable,0.575
1744,1,cultivable,0.946
11227,1,cultivable,0.970
7776,0,non-cultivable,0.780
11490,1,cultivable,1.000
7767,0,non-cultivable,0.991
10348,1,cultivable,0.534
10617,0,non-cultivable,0.989
1067,1,cultivable,0.951
5910,0,non-cultivable,0.989
9472,1,cultivable,0.805
12540,1,cultivable,0.976
8824,0,non-cultivable,0.974
6520,0,non-cultivable,0.986
3062,1,cultivable,1.000
12807,1,cultivable,0.950
1416,1,cultivable,0.548
6593,1,cultivable,0.714
6839,0,non-cultivable,0.889
1513,1,cultivable,0.740
1145,0,non-cultivable,0.997
211,0,non-cultivable,0.635
5423,1,cultivable,0.988
4118,0,non-cultivable,0.824
12922,1,cultivable,0.951
1232,0,non-cultivable,0.983
8390,0,non-cultivable,0.855
3811,1,cultivable,0.799
11220,1,cultivable,0.616
3364,0,non-cultivable,0.999
2460,0,non-cultivable,0.973
8534,0,non-cultivable,0.937
9795,0,non-cultivable,0.995
1204,0,non-cultivable,0.649
6610,1,cultivable,0.804
3004,0,non-cultivable,0.947
5892,0,non-cultivable,0.964
12801,1,cultivable,0.950
8616,1,cultivable,0.622
12251,1,cultivable,0.957
11840,1,cultivable,0.998
449,0,non-cultivable,0.934
2896,1,cultivable,0.950
2685,0,non-cultivable,0.798
6440,0,non-cultivable,0.509
6684,0,non-cultivable,0.999
8928,1,cultivable,0.807
7062,0,non-cultivable,1.000
2843,0,non-cultivable,0.931
7639,1,cultivable,0.652
4494,0,non-cultivable,1.000
8626,1,cultivable,0.994
11362,0,non-cultivable,0.909
12005,1,cultivable,0.953
4196,1,cultivable,0.996
6518,0,non-cultivable,0.776
5942,0,non-cultivable,0.557
381,1,cultivable,0.990
585,0,non-cultivable,0.980
5843,1,cultivable,1.000
2926,1,cultivable,0.973
6415,1,cultivable,0.588
8150,1,cultivable,0.987
7232,0,non-cultivable,1.000
4806,1,cultivable,0.979
649,0,non-cultivable,0.618
9789,0,non-cultivable,0.887
12319,1,cultivable,0.954
2298,1,cultivable,0.727
1026,1,cultivable,0.934
9953,0,non-cultivable,0.999
7239,0,non-cultivable,0.999
3626,1,cultivable,0.735
10534,1,cultivable,0.864
5861,1,cultivable,0.999
1748,1,cultivable,0.771
10005,1,cultivable,0.510
4334,1,cultivable,0.584
9905,1,cultivable,0.653
4721,1,cultivable,0.997
6085,1,cultivable,0.951
8045,1,cultivable,0.679
7589,0,non-cultivable,0.754
12058,1,cultivable,0.950
7236,0,non-cultivable,1.000
10519,1,cultivable,0.717
7635,1,cultivable,0.879
11533,1,cultivable,0.989
11636,1,cultivable,0.864
12026,1,cultivable,0.989
2425,1,cultivable,0.687
4972,1,cultivable,0.999
10222,0,non-cultivable,0.994
4532,1,cultivable,0.950
1279,0,non-cultivable,0.873
6425,0,non-cultivable,0.548
11962,1,cultivable,0.991
10783,1,cultivable,0.996
5356,1,cultivable,0.950
10050,1,cultivable,0.710
4689,1,cultivable,0.950
156,1,cultivable,0.612
7738,0,non-cultivable,0.987
11294,0,non-cultivable,0.992
11342,1,cultivable,0.978
2680,0,non-cultivable,0.920
6995,0,non-cultivable,0.505
5298,1,cultivable,0.975
12022,1,cultivable,0.998
7799,1,cultivable,0.700
94,1,cultivable,0.503
10744,1,cultivable,0.910
3082,1,cultivable,0.989
3087,0,non-cultivable,0.845
3936,1,cultivable,0.999
12448,1,cultivable,0.958
5330,1,cultivable,0.857
7958,0,non-cultivable,0.710
8142,1,cultivable,0.993
707,0,non-cultivable,0.820
11248,1,cultivable,0.953
11492,1,cultivable,0.954
4117,1,cultivable,0.747
4577,1,cultivable,0.999
11729,1,cultivable,0.963
5876,1,cultivable,0.896
395,1,cultivable,0.881
450,0,non-cultivable,0.674
863,1,cultivable,0.996
9434,1,cultivable,0.951
2171,1,cultivable,0.787
12419,1,cultivable,0.969
11281,0,non-cultivable,0.787
7913,0,non-cultivable,0.999
4003,1,cultivable,0.954
9139,1,cultivable,0.998
11371,0,non-cultivable,0.993
5475,0,non-cultivable,1.000
3562,1,cultivable,1.000
9969,0,non-cultivable,0.617
2090,0,non-cultivable,0.702
1881,1,cultivable,0.858
5319,0,non-cultivable,1.000
4171,1,cultivable,0.999
4365,0,non-cultivable,0.999
2543,1,cultivable,0.971
5076,1,cultivable,0.950
6778,1,cultivable,0.663
6443,0,non-cultivable,0.605
3715,0,non-cultivable,0.982
7791,0,non-cultivable,0.788
5364,1,cultivable,0.990
12048,1,cultivable,0.951
6828,0,non-cultivable,0.699
8863,1,cultivable,0.971
87,1,cultivable,0.926
1756,1,cultivable,0.683
8004,1,cultivable,0.974
7804,0,non-cultivable,0.586
5869,1,cultivable,0.996
3058,1,cultivable,0.997
5865,1,cultivable,0.998
12262,1,cultivable,0.930
1043,1,cultivable,0.745
314,0,non-cultivable,0.612
12250,1,cultivable,0.953
11614,1,cultivable,0.996
872,1,cultivable,0.614
5110,1,cultivable,1.000
11352,0,non-cultivable,0.957
6614,1,cultivable,0.988
10012,0,non-cultivable,0.700
2227,1,cultivable,0.719
362,0,non-cultivable,0.961
5011,1,cultivable,0.996
2084,0,non-cultivable,0.930
9959,0,non-cultivable,0.890
12346,1,cultivable,0.950
12399,1,cultivable,0.991
5273,1,cultivable,0.996
927,1,cultivable,0.850
1440,1,cultivable,0.971
6429,1,cultivable,0.873
8407,0,non-cultivable,0.997
2028,0,non-cultivable,0.572
11374,0,non-cultivable,0.664
603,1,cultivable,0.832
485,1,cultivable,0.585
9279,1,cultivable,0.974
3617,0,non-cultivable,0.912
12907,1,cultivable,0.950
1547,0,non-cultivable,0.804
829,0,non-cultivable,0.873
3746,0,non-cultivable,0.833
4513,0,non-cultivable,0.997
10433,1,cultivable,0.990
12116,1,cultivable,0.950
6776,1,cultivable,0.606
230,0,non-cultivable,0.740
1389,1,cultivable,0.675
8833,1,cultivable,0.569
12233,1,cultivable,0.955
1786,1,cultivable,0.821
7919,0,non-cultivable,0.998
737,1,cultivable,0.889
5535,1,cultivable,1.000
12434,1,cultivable,0.950
3352,0,non-cultivable,0.997
11063,1,cultivable,0.950
12754,1,cultivable,0.951
1958,1,cultivable,0.877
12621,1,cultivable,0.994
10691,0,non-cultivable,0.806
10285,1,cultivable,0.998
2551,0,non-cultivable,0.995
12077,1,cultivable,0.977
1075,1,cultivable,0.816
2475,1,cultivable,0.525
8621,1,cultivable,0.860
5482,0,non-cultivable,0.997
963,0,non-cultivable,0.682
3122,1,cultivable,0.969
9044,0,non-cultivable,1.000
4143,1,cultivable,0.950
5157,1,cultivable,0.859
12087,1,cultivable,0.993
9394,1,cultivable,0.661
3924,1,cultivable,0.999
9276,1,cultivable,0.974
9104,1,cultivable,0.970
1625,0,non-cultivable,0.690
260,0,non-cultivable,0.870
7186,0,non-cultivable,0.571
6495,0,non-cultivable,0.876
4243,0,non-cultivable,0.617
11902,1,cultivable,0.981
2921,1,cultivable,0.967
10192,1,cultivable,0.689
338,0,non-cultivable,0.848
6156,1,cultivable,0.736
4293,1,cultivable,1.000
4483,0,non-cultivable,1.000
8437,0,non-cultivable,0.761
5582,1,cultivable,0.985
4628,0,non-cultivable,0.991
4427,1,cultivable,1.000
1035,0,non-cultivable,0.703
12469,1,cultivable,0.993
8153,1,cultivable,0.993
8716,1,cultivable,0.641
4715,0,non-cultivable,0.672
12576,1,cultivable,0.984
3559,1,cultivable,0.999
4757,0,non-cultivable,0.996
8055,1,cultivable,0.851
7600,0,non-cultivable,0.995
6106,1,cultivable,0.746
10794,1,cultivable,0.947
2335,0,non-cultivable,0.999
7572,0,non-cultivable,0.872
8299,1,cultivable,0.998
3230,0,non-cultivable,1.000
4814,1,cultivable,0.952
2767,1,cultivable,0.989
6390,1,cultivable,0.950
834,1,cultivable,0.641
2972,0,non-cultivable,1.000
6320,1,cultivable,0.648
7575,0,non-cultivable,0.996
2659,1,cultivable,0.995
1793,0,non-cultivable,0.893
859,1,cultivable,0.962
8389,0,non-cultivable,0.947
4016,1,cultivable,0.950
11642,1,cultivable,0.703
3048,1,cultivable,0.830
7151,1,cultivable,0.767
9405,1,cultivable,0.950
7168,0,non-cultivable,1.000
9388,0,non-cultivable,0.997
3900,1,cultivable,0.923
5932,1,cultivable,0.950
9127,1,cultivable,0.968
9297,1,cultivable,0.992
11746,1,cultivable,0.977
12747,1,cultivable,0.950
1139,1,cultivable,0.891
9679,0,non-cultivable,0.734
4074,0,non-cultivable,0.701
4493,0,non-cultivable,0.999
12851,1,cultivable,0.956
1682,0,non-cultivable,0.976
1237,0,non-cultivable,0.824
5348,1,cultivable,0.950
9133,1,cultivable,0.982
2080,1,cultivable,0.934
9966,0,non-cultivable,0.731
9808,0,non-cultivable,0.996
6656,1,cultivable,0.974
12800,1,cultivable,0.952
11287,0,non-cultivable,0.993
10128,1,cultivable,0.972
7781,1,cultivable,0.551
435,1,cultivable,0.705
6905,1,cultivable,0.874
7533,0,non-cultivable,0.597
4318,1,cultivable,0.867
1363,1,cultivable,0.989
4180,1,cultivable,0.904
1312,1,cultivable,0.783
7490,1,cultivable,1.000
12164,1,cultivable,0.963
9857,1,cultivable,0.999
4545,0,non-cultivable,0.631
10240,0,non-cultivable,1.000
2416,1,cultivable,0.784
6804,1,cultivable,0.873
12055,1,cultivable,0.950
178,1,cultivable,0.791
12067,1,cultivable,0.995
26,1,cultivable,0.840
2069,1,cultivable,1.000
1336,0,non-cultivable,0.963
9583,1,cultivable,0.950
3771,1,cultivable,0.715
5665,1,cultivable,0.692
2027,1,cultivable,0.943
7812,1,cultivable,0.999
9050,0,non-cultivable,0.997
5593,0,non-cultivable,0.999
12143,1,cultivable,0.997
3913,1,cultivable,0.999
10713,0,non-cultivable,0.853
4971,1,cultivable,1.000
10849,1,cultivable,0.935
914,1,cultivable,0.770
1966,0,non-cultivable,0.961
7854,1,cultivable,0.924
10599,0,non-cultivable,0.997
11438,0,non-cultivable,0.835
1462,1,cultivable,0.966
6914,1,cultivable,0.849
350,1,cultivable,0.680
3971,0,non-cultivable,1.000
5214,1,cultivable,0.950
11482,1,cultivable,0.950
6396,1,cultivable,0.981
1934,0,non-cultivable,0.726
8268,0,non-cultivable,0.984
7455,1,cultivable,0.780
3374,0,non-cultivable,0.829
10587,1,cultivable,0.890
2063,0,non-cultivable,0.865
9193,0,non-cultivable,0.774
4882,0,non-cultivable,0.986
724,1,cultivable,0.503
4272,1,cultivable,0.950
6521,0,non-cultivable,0.992
5708,1,cultivable,0.551
10504,0,non-cultivable,0.994
8220,1,cultivable,0.658
7429,0,non-cultivable,0.989
5486,1,cultivable,0.980
1519,1,cultivable,0.960
4774,1,cultivable,0.997
1301,1,cultivable,0.934
5313,0,non-cultivable,1.000
4027,1,cultivable,0.990
12739,1,cultivable,0.960
5178,0,non-cultivable,1.000
6798,0,non-cultivable,0.934
10160,1,cultivable,0.950
7036,0,non-cultivable,1.000
1868,1,cultivable,0.811
3612,0,non-cultivable,0.811
2955,0,non-cultivable,0.971
4088,0,non-cultivable,0.998
7870,1,cultivable,0.856
12557,1,cultivable,0.998
3237,0,non-cultivable,1.000
11547,1,cultivable,0.977
8909,0,non-cultivable,0.823
11673,0,non-cultivable,0.613
817,1,cultivable,0.529
2816,1,cultivable,0.981
4725,1,cultivable,0.999
5291,1,cultivable,1.000
2894,1,cultivable,0.950
7017,1,cultivable,0.976
10685,1,cultivable,0.975
3803,1,cultivable,0.976
4903,0,non-cultivable,1.000
10512,1,cultivable,0.742
5261,1,cultivable,0.998
12388,1,cultivable,0.950
4685,0,non-cultivable,0.502
10363,0,non-cultivable,0.725
6639,1,cultivable,0.889
10892,1,cultivable,0.987
2290,0,non-cultivable,0.994
7797,1,cultivable,0.732
3765,1,cultivable,0.950
7228,0,non-cultivable,0.999
12529,1,cultivable,0.953
768,0,non-cultivable,0.640
6188,0,non-cultivable,0.997
10349,0,non-cultivable,0.994
11859,1,cultivable,0.950
12509,1,cultivable,0.976
5253,1,cultivable,1.000
9313,1,cultivable,0.893
10117,0,non-cultivable,0.748
11954,1,cultivable,0.955
3884,1,cultivable,0.987
3774,1,cultivable,0.977
2164,0,non-cultivable,0.967
2837,0,non-cultivable,1.000
134,0,non-cultivable,0.992
8766,1,cultivable,0.575
12616,1,cultivable,0.955
562,0,non-cultivable,0.889
9683,0,non-cultivable,0.920
3700,0,non-cultivable,0.940
5851,1,cultivable,0.959
4149,1,cultivable,0.992
11655,1,cultivable,0.938
11393,1,cultivable,0.999
7058,0,non-cultivable,1.000
5326,1,cultivable,0.677
4783,0,non-cultivable,0.892
8510,1,cultivable,0.999
3840,0,non-cultivable,0.977
8835,1,cultivable,0.996
9609,0,non-cultivable,0.674
3422,1,cultivable,0.750
2942,1,cultivable,0.951
9585,1,cultivable,0.950
12160,1,cultivable,0.966
4741,0,non-cultivable,0.672
3046,1,cultivable,0.928
8843,0,non-cultivable,0.940
7496,1,cultivable,0.991
6401,1,cultivable,0.665
3575,0,non-cultivable,0.782
4561,1,cultivable,1.000
10255,0,non-cultivable,0.566
12574,1,cultivable,0.950
10252,1,cultivable,0.877
2226,1,cultivable,0.796
12358,1,cultivable,0.967
1299,0,non-cultivable,0.519
11318,1,cultivable,0.965
11591,0,non-cultivable,0.669
10176,1,cultivable,0.950
8701,1,cultivable,0.939
7929,0,non-cultivable,1.000
11181,1,cultivable,0.697
13,1,cultivable,1.000
7414,0,non-cultivable,0.998
5334,1,cultivable,0.650
12431,1,cultivable,0.950
8380,1,cultivable,0.950
2427,1,cultivable,0.697
1695,1,cultivable,0.932
3959,0,non-cultivable,0.969
2749,1,cultivable,0.978
9334,1,cultivable,0.875
11289,0,non-cultivable,0.971
11196,1,cultivable,0.604
11632,1,cultivable,0.961
12004,1,cultivable,0.914
4981,1,cultivable,1.000
794,1,cultivable,0.729
7511,0,non-cultivable,0.682
6629,1,cultivable,0.990
6774,1,cultivable,0.605
3887,1,cultivable,0.950
6777,0,non-cultivable,0.680
4603,1,cultivable,0.789
5285,1,cultivable,1.000
12852,1,cultivable,0.951
10423,1,cultivable,0.971
6931,1,cultivable,0.777
8615,1,cultivable,0.956
7853,1,cultivable,0.887
6650,0,non-cultivable,0.893
6667,1,cultivable,0.998
10290,1,cultivable,0.991
787,1,cultivable,0.760
3658,1,cultivable,0.989
6955,1,cultivable,0.951
3042,1,cultivable,0.653
2686,0,non-cultivable,0.970
3666,1,cultivable,0.992
10422,1,cultivable,0.950
2055,0,non-cultivable,0.996
5795,0,non-cultivable,0.732
7819,1,cultivable,1.000
6426,1,cultivable,0.585
6420,1,cultivable,0.710
12158,1,cultivable,0.926
5969,1,cultivable,0.828
7809,1,cultivable,0.999
11392,1,cultivable,0.999
12666,1,cultivable,0.950
10476,0,non-cultivable,0.796
8500,1,cultivable,0.537
752,1,cultivable,0.531
5734,0,non-cultivable,0.962
12762,1,cultivable,0.996
11038,1,cultivable,0.929
11184,1,cultivable,0.533
12889,1,cultivable,0.999
10400,1,cultivable,0.967
11648,1,cultivable,0.696
4433,1,cultivable,0.995
8402,0,non-cultivable,0.992
6029,1,cultivable,0.956
9007,1,cultivable,0.962
1401,1,cultivable,0.983
4197,1,cultivable,0.935
8478,1,cultivable,1.000
2272,1,cultivable,0.984
10342,0,non-cultivable,0.998
6612,1,cultivable,0.998
7399,0,non-cultivable,0.991
3644,1,cultivable,0.942
11449,0,non-cultivable,0.708
295,0,non-cultivable,0.985
