epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.8408,0.61186,0.73333,1,0.5741,0.00041675,0.00041675,0.00041675
2,21.3078,0.52859,0.79048,1,0.47051,0.000822114,0.000822114,0.000822114
3,31.6815,0.45925,0.75238,1,0.55036,0.00119887,0.00119887,0.00119887
4,41.8895,0.56469,0.73333,1,0.4629,0.00150197,0.00150197,0.00150197
5,52.5224,0.47991,0.75238,1,0.63404,0.00144696,0.00144696,0.00144696
6,62.7998,0.52241,0.75238,1,0.69601,0.00139195,0.00139195,0.00139195
7,73.463,0.48576,0.78095,1,0.56315,0.00133693,0.00133693,0.00133693
8,83.4638,0.52315,0.75238,1,0.50907,0.00128192,0.00128192,0.00128192
9,93.8047,0.41939,0.79048,1,0.44918,0.00122691,0.00122691,0.00122691
10,103.851,0.40653,0.78095,1,0.52022,0.0011719,0.0011719,0.0011719
11,114.358,0.40268,0.73333,1,0.63799,0.00111689,0.00111689,0.00111689
12,124.746,0.36345,0.78095,1,0.56324,0.00106188,0.00106188,0.00106188
13,134.73,0.39584,0.81905,1,0.58208,0.00100687,0.00100687,0.00100687
14,144.992,0.36183,0.79048,1,0.57098,0.000951857,0.000951857,0.000951857
15,156.091,0.37542,0.79048,1,0.5913,0.000896846,0.000896846,0.000896846
16,166.708,0.39175,0.8,1,0.5332,0.000841835,0.000841835,0.000841835
17,177.077,0.30384,0.8,1,0.598,0.000786824,0.000786824,0.000786824
18,187.617,0.38644,0.8,1,0.47684,0.000731813,0.000731813,0.000731813
19,197.576,0.32697,0.78095,1,0.5256,0.000676802,0.000676802,0.000676802
20,208.038,0.33982,0.77143,1,0.60137,0.000621791,0.000621791,0.000621791
21,218.769,0.32297,0.7619,1,0.53633,0.00056678,0.00056678,0.00056678
22,229.293,0.30419,0.73333,1,0.56222,0.000511769,0.000511769,0.000511769
23,240.418,0.31591,0.7619,1,0.76283,0.000456758,0.000456758,0.000456758
24,250.664,0.26429,0.75238,1,0.68341,0.000401747,0.000401747,0.000401747
25,260.999,0.29393,0.78095,1,0.5134,0.000346736,0.000346736,0.000346736
26,270.951,0.31644,0.7619,1,0.55381,0.000291725,0.000291725,0.000291725
27,281.165,0.25266,0.78095,1,0.49727,0.000236714,0.000236714,0.000236714
28,291.367,0.25834,0.77143,1,0.51435,0.000181703,0.000181703,0.000181703
29,301.382,0.26251,0.77143,1,0.51065,0.000126692,0.000126692,0.000126692
30,311.634,0.25755,0.77143,1,0.52809,7.1681e-05,7.1681e-05,7.1681e-05
